index,multimer_id,used_in_synthesis,table_origin,initial_acceptor,dimer_formation,dimer_deprotection,trimer_formation,trimer_deprotection,tetramer_formation,tetramer_deprotection,pentamer_formation,final_multimer
131,Ub5_14,0,Donors,,ubi_ubq_1_K48_SMAC_K63_ABOC,,ubi_ubq_1_K48_ABOC_K63_ABOC,,ubi_ubq_1_K48_ABOC_K63_SMAC,,ubi_ubq_1_K48_ABOC_K63_ABOC,
131,Ub5_14,0,Acceptor,histag_ubi_ubq_1,,,,,,,,
131,Ub5_14,0,Reactions,,gp78/Ube2g2,SMAC_deprot,gp78/Ube2g2,FAKE_deprot,Ubc13/Mms2 (branching),SMAC_deprot,Ubc13/Mms2,
183,Ub5_14,0,Donors,,ubi_ubq_1_K48_SMAC_K63_ABOC,,ubi_ubq_1_K48_ABOC_K63_SMAC,,ubi_ubq_1_K48_ABOC_K63_ABOC,,ubi_ubq_1_K48_ABOC_K63_ABOC,
183,Ub5_14,0,Acceptor,histag_ubi_ubq_1,,,,,,,,
183,Ub5_14,0,Reactions,,gp78/Ube2g2,SMAC_deprot,Ubc13/Mms2 (branching),SMAC_deprot,gp78/Ube2g2,FAKE_deprot,Ubc13/Mms2,
207,Ub5_14,0,Donors,,ubi_ubq_1_K48_SMAC_K63_ABOC,,ubi_ubq_1_K48_ABOC_K63_SMAC,,ubi_ubq_1_K48_ABOC_K63_ABOC,,ubi_ubq_1_K48_ABOC_K63_ABOC,
207,Ub5_14,0,Acceptor,histag_ubi_ubq_1,,,,,,,,
207,Ub5_14,0,Reactions,,gp78/Ube2g2,SMAC_deprot,Ubc13/Mms2 (branching),SMAC_deprot,Ubc13/Mms2,FAKE_deprot,gp78/Ube2g2,
227,Ub5_14,0,Donors,,ubi_ubq_1_K48_SMAC_K63_ABOC,,ubi_ubq_1_K48_ABOC_K63_SMAC,,ubi_ubq_1_K48_ABOC_K63_ABOC,,ubi_ubq_1_K48_ABOC_K63_ABOC,
227,Ub5_14,0,Acceptor,histag_ubi_ubq_1,,,,,,,,
227,Ub5_14,0,Reactions,,gp78/Ube2g2,SMAC_deprot,Ubc13/Mms2 (branching),FAKE_deprot,gp78/Ube2g2,SMAC_deprot,Ubc13/Mms2,
299,Ub5_14,0,Donors,,ubi_ubq_1_K48_SMAC_K63_ABOC,,ubi_ubq_1_K48_ABOC_K63_SMAC,,ubi_ubq_1_K48_ABOC_K63_ABOC,,ubi_ubq_1_K48_ABOC_K63_ABOC,
299,Ub5_14,0,Acceptor,histag_ubi_ubq_1,,,,,,,,
299,Ub5_14,0,Reactions,,gp78/Ube2g2,FAKE_deprot,Ubc13/Mms2 (branching),SMAC_deprot,gp78/Ube2g2,FAKE_deprot,Ubc13/Mms2,
323,Ub5_14,0,Acceptor,histag_ubi_ubq_1,,,,,,,,
323,Ub5_14,0,Reactions,,gp78/Ube2g2,FAKE_deprot,Ubc13/Mms2 (branching),SMAC_deprot,Ubc13/Mms2,FAKE_deprot,gp78/Ube2g2,
323,Ub5_14,0,Donors,,ubi_ubq_1_K48_SMAC_K63_ABOC,,ubi_ubq_1_K48_ABOC_K63_SMAC,,ubi_ubq_1_K48_ABOC_K63_ABOC,,ubi_ubq_1_K48_ABOC_K63_ABOC,
675,Ub5_14,0,Reactions,,Ubc13/Mms2,SMAC_deprot,Ube2K,SMAC_deprot,gp78/Ube2g2,FAKE_deprot,Ubc13/Mms2,
675,Ub5_14,0,Acceptor,histag_ubi_ubq_1,,,,,,,,
675,Ub5_14,0,Donors,,ubi_ubq_1_K48_ABOC_K63_SMAC,,ubi_ubq_1_K48_SMAC_K63_ABOC,,ubi_ubq_1_K48_ABOC_K63_ABOC,,ubi_ubq_1_K48_ABOC_K63_ABOC,
699,Ub5_14,0,Reactions,,Ubc13/Mms2,SMAC_deprot,Ube2K,SMAC_deprot,Ubc13/Mms2,FAKE_deprot,gp78/Ube2g2,
699,Ub5_14,0,Acceptor,histag_ubi_ubq_1,,,,,,,,
699,Ub5_14,0,Donors,,ubi_ubq_1_K48_ABOC_K63_SMAC,,ubi_ubq_1_K48_SMAC_K63_ABOC,,ubi_ubq_1_K48_ABOC_K63_ABOC,,ubi_ubq_1_K48_ABOC_K63_ABOC,
719,Ub5_14,0,Donors,,ubi_ubq_1_K48_ABOC_K63_SMAC,,ubi_ubq_1_K48_SMAC_K63_ABOC,,ubi_ubq_1_K48_ABOC_K63_ABOC,,ubi_ubq_1_K48_ABOC_K63_ABOC,
719,Ub5_14,0,Reactions,,Ubc13/Mms2,SMAC_deprot,Ube2K,FAKE_deprot,Ubc13/Mms2,SMAC_deprot,gp78/Ube2g2,
719,Ub5_14,0,Acceptor,histag_ubi_ubq_1,,,,,,,,
871,Ub5_14,1,Reactions,,Ubc13/Mms2,SMAC_deprot,Ubc13/Mms2,FAKE_deprot,Ube2K,SMAC_deprot,gp78/Ube2g2,
871,Ub5_14,1,Acceptor,histag_ubi_ubq_1,,,,,,,,
871,Ub5_14,1,Donors,,ubi_ubq_1_K48_ABOC_K63_SMAC,,ubi_ubq_1_K48_ABOC_K63_ABOC,,ubi_ubq_1_K48_SMAC_K63_ABOC,,ubi_ubq_1_K48_ABOC_K63_ABOC,
927,Ub5_14,0,Acceptor,histag_ubi_ubq_1,,,,,,,,
927,Ub5_14,0,Donors,,ubi_ubq_1_K48_ABOC_K63_SMAC,,ubi_ubq_1_K48_SMAC_K63_ABOC,,ubi_ubq_1_K48_ABOC_K63_ABOC,,ubi_ubq_1_K48_ABOC_K63_ABOC,
927,Ub5_14,0,Reactions,,Ubc13/Mms2,FAKE_deprot,Ube2K,SMAC_deprot,gp78/Ube2g2,FAKE_deprot,Ubc13/Mms2,
951,Ub5_14,0,Reactions,,Ubc13/Mms2,FAKE_deprot,Ube2K,SMAC_deprot,Ubc13/Mms2,FAKE_deprot,gp78/Ube2g2,
951,Ub5_14,0,Donors,,ubi_ubq_1_K48_ABOC_K63_SMAC,,ubi_ubq_1_K48_SMAC_K63_ABOC,,ubi_ubq_1_K48_ABOC_K63_ABOC,,ubi_ubq_1_K48_ABOC_K63_ABOC,
951,Ub5_14,0,Acceptor,histag_ubi_ubq_1,,,,,,,,
